epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.460342,0.335582,0.716597,0.094106,0.241476,0.748784,0.684411,04:37
1,0.281561,0.311548,0.745376,0.078744,0.232804,0.618706,0.872046,04:36
2,0.257101,0.254079,0.758302,0.064582,0.189497,0.654222,0.862382,04:43
3,0.244176,0.256468,0.822567,0.063702,0.192767,0.832342,0.812792,04:43
4,0.213527,0.194834,0.823556,0.047877,0.146957,0.788819,0.858293,08:02
5,0.185173,0.202025,0.818472,0.049196,0.152829,0.760845,0.876099,04:39
6,0.167739,0.173468,0.849685,0.041510,0.131958,0.860088,0.839283,04:35
7,0.152691,0.153520,0.865172,0.039290,0.114230,0.837939,0.892405,04:54
8,0.138498,0.148442,0.874517,0.033393,0.115050,0.846498,0.902537,05:00
9,0.125679,0.148383,0.870212,0.032307,0.116077,0.842263,0.898161,04:59
