epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.276899,0.288783,0.834769,0.106105,0.182678,0.859897,0.809641,16:44
1,0.193245,0.197975,0.898719,0.077347,0.120628,0.888788,0.908651,15:24
2,0.172222,0.208781,0.901862,0.075926,0.132855,0.897810,0.905913,11:42
3,0.163307,0.186566,0.884761,0.068576,0.117990,0.879184,0.890337,13:40
4,0.142111,0.184983,0.886461,0.060248,0.124735,0.892856,0.880065,12:34
5,0.128335,0.161820,0.917026,0.055368,0.106452,0.909991,0.924061,12:08
6,0.109965,0.134064,0.927193,0.049815,0.084249,0.914513,0.939873,12:34
7,0.096743,0.126359,0.930354,0.046476,0.079882,0.937007,0.923700,12:07
8,0.087758,0.120933,0.932451,0.046346,0.074587,0.930878,0.934024,12:44
9,0.083941,0.120661,0.933018,0.045299,0.075362,0.933952,0.932085,12:07
