epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,2.084531,2.079978,0.003703,0.466434,1.613545,0.000000,0.007405,01:35
1,1.403878,0.799251,0.192709,0.265962,0.533289,0.000042,0.385376,36:22
2,1.003074,0.472634,0.568107,0.167533,0.305100,0.456963,0.679252,28:32
3,0.749517,0.360907,0.771074,0.130645,0.230262,0.809655,0.732493,21:21
4,0.589515,0.323347,0.715006,0.106876,0.216471,0.640229,0.789782,19:44
5,0.486268,0.263990,0.826504,0.096428,0.167562,0.821730,0.831278,19:29
6,0.408846,0.261353,0.842039,0.096905,0.164448,0.811504,0.872574,18:39
7,0.352315,0.239161,0.847780,0.084113,0.155048,0.849023,0.846537,22:21
8,0.307983,0.220808,0.875654,0.077444,0.143364,0.867135,0.884172,19:47
9,0.274122,0.226563,0.867995,0.079517,0.147046,0.865030,0.870960,20:15
