epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,2.887939,8.379356,0.094063,0.497637,7.881716,0.188126,0.000000,24:30
1,1.996007,1.864675,0.049196,0.430609,1.434066,0.096361,0.002031,24:26
2,1.514732,1.660789,0.150739,0.403788,1.257001,0.301454,0.000023,23:30
3,1.199897,2.161897,0.379164,0.313389,1.848508,0.312699,0.445629,28:59
4,0.976185,1.212996,0.473622,0.193213,1.019783,0.351169,0.596074,27:46
5,0.818704,0.702855,0.545093,0.159307,0.543548,0.581923,0.508262,21:12
6,0.699374,0.458561,0.614676,0.150399,0.308161,0.656102,0.573249,17:52
7,0.608601,0.434137,0.597833,0.129411,0.304726,0.651471,0.544194,17:30
8,0.540081,0.410488,0.614900,0.121091,0.289397,0.680909,0.548891,15:50
9,0.484290,0.408334,0.635121,0.124875,0.283459,0.678132,0.592109,14:26
