epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.428869,3.198600,0,0.496425,2.702174,0,0,01:24
1,2.985651,124.865913,0.081235,0.713654,124.152313,0.148589,0.013880,31:00
2,5.842006,3.380660,0,0.511398,2.869262,0,0,01:20
3,5.175706,3.748738,0,0.632161,3.116577,0,0,01:20
4,4.797907,3.213156,0.000000,0.501532,2.711624,0.000000,0.000000,01:20
5,4.368671,7.655318,0.074939,0.465603,7.189717,0.149878,0.000000,27:51
6,3.956464,4.762777,0.118134,0.509061,4.253716,0.236269,0.000000,26:25
7,3.541852,2.401893,0.102311,0.571345,1.830547,0.204622,0.000000,26:20
8,3.213367,2.125144,0.089545,0.501023,1.624122,0.175752,0.003337,27:44
9,2.946708,1.693179,0.086567,0.465126,1.228053,0.169450,0.003685,26:51
