epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.524471,0.364557,0.728146,0.076045,0.288512,0.766545,0.689747,04:59
1,0.313123,0.428950,0.637779,0.075197,0.353752,0.721300,0.554258,04:32
2,0.287918,0.249710,0.786437,0.058193,0.191516,0.763338,0.809537,04:37
3,0.227141,0.214716,0.796481,0.056292,0.158424,0.716145,0.876817,04:58
4,0.219545,0.194344,0.800561,0.043892,0.150452,0.703398,0.897724,04:41
5,0.214433,0.174808,0.845433,0.043090,0.131718,0.780972,0.909893,04:37
6,0.175488,0.182610,0.845470,0.042063,0.140547,0.844966,0.845974,04:41
7,0.155544,0.183726,0.861273,0.059628,0.124098,0.839744,0.882803,04:36
8,0.145481,0.163836,0.856220,0.031656,0.132180,0.840275,0.872165,04:37
9,0.132507,0.159509,0.860105,0.034196,0.125312,0.842343,0.877868,04:40
