epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,2.981052,1.272160,0.075744,0.446147,0.826013,0.000000,0.151488,36:28
1,2.291624,1.471678,0.051037,0.443338,1.028340,0.000000,0.102075,07:25
2,1.782813,1.067944,0.162794,0.299376,0.768568,0.001064,0.324523,38:53
3,1.418619,1.260421,0.188665,0.376198,0.884223,0.044137,0.333193,36:36
4,1.172427,0.593201,0.453292,0.187752,0.405449,0.289127,0.617457,34:59
5,0.985631,0.470100,0.456419,0.156083,0.314017,0.313562,0.599276,25:45
6,0.853601,0.477263,0.601673,0.172798,0.304465,0.478725,0.724622,30:20
7,0.748178,0.389556,0.719673,0.139419,0.250137,0.688084,0.751262,19:05
8,0.664097,0.347045,0.715671,0.121013,0.226031,0.701745,0.729596,23:12
9,0.595731,0.342422,0.717877,0.117462,0.224960,0.688334,0.747420,23:29
