epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.488425,0.389140,0.740258,0.112592,0.276548,0.687208,0.793309,15:13
1,0.318501,0.272658,0.815445,0.092115,0.180542,0.746364,0.884526,20:11
2,0.411726,0.471793,0.776549,0.117598,0.354195,0.737482,0.815615,24:54
3,0.235799,0.402397,0.757184,0.070260,0.332137,0.690063,0.824306,09:23
4,0.203417,0.230129,0.828061,0.072119,0.158009,0.769752,0.886370,16:42
5,0.186765,0.171379,0.901308,0.064694,0.106685,0.902211,0.900404,15:40
6,0.167914,0.158233,0.896531,0.052362,0.105871,0.863717,0.929345,13:17
7,0.147651,0.139585,0.918765,0.048536,0.091050,0.918816,0.918714,14:15
8,0.138401,0.132350,0.928313,0.047375,0.084975,0.909364,0.947262,14:05
9,0.132966,0.131091,0.926155,0.045570,0.085521,0.910981,0.941328,12:52
