epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.178461,1.777937,0.011327,0.608736,1.169201,0.022655,0.000000,01:37
1,3.174053,3.071259,0,0.526899,2.544360,0,0,01:22
2,2.827907,2.543580,0.007979,0.512580,2.030999,0.015958,0.000000,01:51
3,2.494376,1.856759,0.118705,0.500549,1.356210,0.235658,0.001751,24:25
4,2.093867,1.846991,0.180947,0.360816,1.486175,0.357639,0.004255,23:20
5,1.813094,1.064083,0.255160,0.309045,0.755039,0.374146,0.136175,17:37
6,1.595407,0.910401,0.310482,0.295251,0.615150,0.401687,0.219278,19:31
7,1.422385,0.898014,0.215851,0.267686,0.630329,0.421181,0.010522,17:21
8,1.282604,0.865895,0.215764,0.254028,0.611868,0.419122,0.012406,16:40
9,1.169812,0.815047,0.216632,0.249952,0.565095,0.409393,0.023872,18:29
