epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.481726,0.538447,0.525541,0.141238,0.397209,0.631662,0.419420,19:27
1,0.233999,0.306596,0.678188,0.088396,0.218201,0.715012,0.641365,13:38
2,0.190754,0.327661,0.745297,0.110751,0.216910,0.717356,0.773239,13:28
3,0.172349,0.238922,0.782659,0.071197,0.167725,0.811664,0.753653,14:54
4,0.155887,0.273520,0.737572,0.063766,0.209753,0.810010,0.665135,14:26
5,0.139213,0.279341,0.724764,0.085831,0.193510,0.598246,0.851282,17:55
6,0.128778,0.221957,0.804182,0.059469,0.162488,0.836176,0.772188,15:23
7,0.117324,0.188982,0.814478,0.052932,0.136051,0.830215,0.798741,12:53
8,0.107622,0.171085,0.849785,0.050790,0.120295,0.851320,0.848250,15:13
9,0.100787,0.179410,0.830139,0.051619,0.127791,0.862015,0.798263,14:39
