epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,2.090809,2.166492,0.021023,0.456553,1.709938,0.042046,0.000000,12:06
1,1.381006,0.940164,0.348956,0.271143,0.669021,0.331843,0.366069,25:36
2,0.972543,0.644850,0.468665,0.200975,0.443876,0.495178,0.442153,22:43
3,0.726670,0.585355,0.496531,0.145945,0.439410,0.671069,0.321993,15:14
4,0.564024,0.363347,0.684307,0.116241,0.247106,0.690085,0.678528,16:37
5,0.456421,0.349803,0.658052,0.109257,0.240546,0.708879,0.607225,12:26
6,0.387390,0.308669,0.752759,0.106043,0.202626,0.747770,0.757748,15:31
7,0.331167,0.292473,0.750419,0.092241,0.200232,0.755027,0.745810,13:16
8,0.284808,0.280336,0.770211,0.088862,0.191474,0.756086,0.784337,14:55
9,0.253774,0.279377,0.769458,0.087578,0.191798,0.753861,0.785055,14:46
