epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.459955,0.338157,0.772108,0.119085,0.219072,0.739990,0.804227,22:50
1,0.234747,0.222075,0.880673,0.075976,0.146100,0.839100,0.922246,41:51
2,0.200038,0.266047,0.851694,0.082101,0.183946,0.841918,0.861470,13:42
3,0.173903,0.214065,0.863366,0.059626,0.154438,0.849542,0.877190,18:04
4,0.160943,0.192584,0.915312,0.077450,0.115134,0.923103,0.907520,14:26
5,0.142649,0.162630,0.911864,0.049003,0.113628,0.935692,0.888035,15:53
6,0.130594,0.164075,0.926558,0.068979,0.095096,0.912047,0.941070,16:35
7,0.114787,0.121109,0.935824,0.046791,0.074317,0.929173,0.942474,14:13
8,0.108151,0.116621,0.939655,0.043892,0.072729,0.928407,0.950902,13:39
9,0.104004,0.117238,0.940840,0.045790,0.071448,0.933811,0.947869,13:15
