epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.558638,0.497701,0.357202,0.123201,0.374500,0.491639,0.446620,0.181877,0.392648,0.273227,04:20
1,0.308062,0.354262,0.558962,0.087355,0.266906,0.574851,0.568633,0.543985,0.542948,0.564394,04:19
2,0.225372,0.315765,0.593335,0.073498,0.242267,0.593054,0.634930,0.582199,0.541796,0.614696,04:16
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.229242,0.383997,0.484618,0.093213,0.290784,0.552084,0.646535,0.513121,0.350045,0.361304,04:24
1,0.293759,0.419276,0.471645,0.097931,0.321346,0.505179,0.424534,0.527451,0.558731,0.342332,04:16
2,0.300755,0.366624,0.590176,0.092464,0.274159,0.557456,0.711957,0.544631,0.490378,0.646460,04:23
3,0.286122,0.419268,0.591581,0.087809,0.331459,0.503951,0.478661,0.643045,0.578302,0.753944,04:17
4,0.246014,0.441942,0.551053,0.101223,0.340718,0.495589,0.575493,0.642707,0.474231,0.567246,04:14
5,0.226796,0.446755,0.588818,0.080708,0.366047,0.411971,0.526798,0.683740,0.530346,0.791234,04:13
6,0.190965,0.331153,0.614978,0.066770,0.264383,0.627159,0.592843,0.693478,0.551198,0.610213,04:17
7,0.161005,0.344305,0.641593,0.065689,0.278616,0.569772,0.693099,0.630296,0.620456,0.694345,04:14
8,0.140325,0.368927,0.624972,0.066880,0.302048,0.561159,0.666908,0.630921,0.565184,0.700691,04:16
9,0.135389,0.349300,0.598305,0.068526,0.280774,0.586722,0.686154,0.628673,0.559424,0.530553,04:14
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.132243,0.387540,0.588637,0.068926,0.318614,0.575561,0.650718,0.608148,0.558570,0.550190,04:12
1,0.182819,0.431025,0.539119,0.088484,0.342542,0.516474,0.727854,0.427364,0.555575,0.468329,04:26
2,0.211489,0.441476,0.542929,0.085982,0.355494,0.506955,0.539452,0.532349,0.568723,0.567168,04:15
3,0.205020,0.397850,0.568290,0.080457,0.317393,0.567836,0.550611,0.523699,0.626519,0.572784,04:15
4,0.184010,0.360103,0.586690,0.075752,0.284350,0.568889,0.613511,0.603416,0.493867,0.653768,04:19
5,0.174052,0.415727,0.565345,0.073252,0.342476,0.565780,0.613798,0.598787,0.495147,0.553211,04:15
6,0.144830,0.440475,0.597505,0.080298,0.360177,0.522869,0.601990,0.598715,0.649599,0.614351,04:13
7,0.116065,0.432285,0.605558,0.070306,0.361979,0.572169,0.680908,0.645860,0.489479,0.639372,04:13
8,0.097628,0.459800,0.599914,0.069087,0.390713,0.552647,0.685704,0.617119,0.540280,0.603822,04:13
9,0.092340,0.445359,0.608459,0.068434,0.376925,0.551561,0.686494,0.627065,0.567638,0.609535,04:14
