epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.233507,1.955206,0.009190,0.556058,1.399148,0.000312,0.018069,01:23
1,2.649348,2.095336,0.006710,0.487079,1.608257,0.000000,0.013421,02:09
2,2.372230,2.195731,0.000274,0.473196,1.722535,0.000000,0.000548,01:21
3,2.141747,1.857771,0.072477,0.415390,1.442380,0.004771,0.140183,36:42
4,1.856066,1.068707,0.127434,0.371642,0.697066,0.075375,0.179493,35:59
5,1.635287,0.827229,0.205761,0.306005,0.521224,0.261864,0.149659,28:36
6,1.459758,0.780751,0.227612,0.274159,0.506592,0.043951,0.411274,34:34
7,1.317956,0.733874,0.224677,0.255444,0.478429,0.049354,0.400000,32:17
8,1.210469,0.678193,0.311312,0.241321,0.436872,0.124485,0.498139,28:05
9,1.119335,0.656783,0.342200,0.237865,0.418918,0.151995,0.532406,28:03
