epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,1.557622,1.247018,0.093473,0.380900,0.866118,0.131885,0.055062,08:36
1,0.920199,0.739896,0.607011,0.274777,0.465120,0.502675,0.711346,18:29
2,0.579372,0.436932,0.686217,0.109659,0.327273,0.773452,0.598981,29:43
3,0.429674,0.293422,0.820723,0.099585,0.193838,0.861835,0.779611,26:34
4,0.323669,0.273685,0.800833,0.082080,0.191605,0.723251,0.878415,21:11
5,0.263243,0.257686,0.768636,0.079426,0.178260,0.781955,0.755316,18:26
6,0.220766,0.201795,0.865352,0.066808,0.134987,0.832578,0.898126,17:34
7,0.193229,0.184123,0.883940,0.067756,0.116367,0.862112,0.905769,17:54
8,0.179539,0.175010,0.904766,0.062219,0.112791,0.896380,0.913152,17:33
9,0.165308,0.168434,0.904424,0.060494,0.107940,0.888423,0.920424,19:56
