epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.253514,0.246967,0.628922,0.048344,0.198623,0.714979,0.720899,0.642817,0.418917,0.646996,04:19
1,0.282542,0.241371,0.609731,0.046577,0.194794,0.675366,0.744208,0.612972,0.415184,0.600929,04:16
2,0.227796,0.222093,0.650829,0.043929,0.178164,0.702080,0.739372,0.636192,0.472676,0.703823,04:14
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.222901,0.226248,0.595477,0.044691,0.181557,0.721014,0.743710,0.638660,0.351379,0.522625,04:21
1,0.244373,0.240394,0.534869,0.047793,0.192600,0.694652,0.722549,0.584002,0.281369,0.391772,04:21
2,0.240941,0.245953,0.566028,0.048634,0.197319,0.677683,0.644492,0.668343,0.399872,0.439748,04:20
3,0.245599,0.275322,0.594648,0.059067,0.216255,0.628351,0.652325,0.554352,0.361884,0.776328,04:19
4,0.229764,0.283414,0.488831,0.055478,0.227936,0.635038,0.666989,0.521135,0.222391,0.398602,04:19
5,0.214188,0.242989,0.582770,0.046600,0.196389,0.714279,0.683040,0.622046,0.418694,0.475792,04:20
6,0.213503,0.238989,0.560988,0.044864,0.194125,0.698657,0.740841,0.692468,0.287943,0.385034,04:18
7,0.193197,0.231212,0.550503,0.044992,0.186221,0.687129,0.734030,0.593280,0.356038,0.382041,04:17
8,0.179054,0.231640,0.587967,0.043830,0.187810,0.690716,0.716255,0.694998,0.390340,0.447527,04:18
9,0.176943,0.235774,0.580879,0.042632,0.193142,0.706333,0.707293,0.695834,0.333717,0.461218,04:16
