epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.432816,3.240592,0,0.509532,2.731060,0,0,01:19
1,2.967988,55.252262,0.105621,0.584254,54.667988,0.093121,0.118120,32:46
2,5.622003,3.341361,0,0.513251,2.828111,0,0,01:19
3,5.035832,3.653081,0,0.575435,3.077646,0,0,01:20
4,4.712296,3.311372,0,0.491790,2.819582,0,0,01:20
5,4.410529,2.158719,0.023156,0.459443,1.699277,0.000000,0.046311,18:23
6,4.002327,3.544671,0.066290,0.440958,3.103713,0.000000,0.132580,36:16
7,3.662232,1.348527,0.075100,0.437373,0.911154,0.000000,0.150199,37:14
8,3.312343,1.187926,0.077013,0.431298,0.756628,0.000226,0.153799,38:51
9,3.032629,1.225932,0.078944,0.432090,0.793842,0.003793,0.154094,34:54
