epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.246120,0.226331,0.630585,0.050699,0.175632,0.672795,0.789685,0.644424,0.495469,0.550551,04:16
1,0.231982,0.215415,0.657391,0.046193,0.169222,0.720701,0.782041,0.660332,0.394813,0.729069,04:16
2,0.212814,0.202763,0.670135,0.042738,0.160025,0.720872,0.791560,0.641420,0.424022,0.772805,04:13
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.211479,0.205282,0.678489,0.042686,0.162596,0.719779,0.788513,0.711506,0.452103,0.720544,04:22
1,0.229996,0.238720,0.590453,0.047120,0.191600,0.721264,0.761298,0.643001,0.392980,0.433723,04:22
2,0.246643,0.250624,0.565936,0.051533,0.199091,0.689226,0.648519,0.642272,0.317064,0.532601,04:18
3,0.237424,0.288472,0.438994,0.049306,0.239166,0.588496,0.810981,0.430702,0.092863,0.271926,04:21
4,0.233349,0.257776,0.554469,0.049069,0.208706,0.678627,0.782139,0.501129,0.199754,0.610696,04:18
5,0.214711,0.222086,0.638299,0.047012,0.175074,0.653361,0.795211,0.608970,0.361934,0.772020,04:20
6,0.204784,0.243718,0.540292,0.045989,0.197729,0.728871,0.759500,0.461871,0.213645,0.537573,04:17
7,0.194760,0.231969,0.569137,0.043025,0.188944,0.710421,0.805763,0.581863,0.214072,0.533566,04:17
8,0.188638,0.222695,0.590693,0.044230,0.178465,0.733450,0.754004,0.592988,0.315318,0.557702,04:18
9,0.183369,0.210470,0.600020,0.042806,0.167664,0.756512,0.771302,0.590634,0.303175,0.578479,04:17
