epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.577453,0.359495,0.728154,0.128364,0.231131,0.694249,0.762060,19:15
1,0.258932,0.308031,0.796216,0.101702,0.206329,0.787993,0.804439,14:20
2,0.211591,0.360333,0.845292,0.111691,0.248642,0.798477,0.892108,11:30
3,0.196084,0.218468,0.882946,0.076535,0.141933,0.901539,0.864353,30:12
4,0.188222,0.259967,0.838388,0.070250,0.189717,0.868964,0.807813,22:08
5,0.155825,0.178339,0.889550,0.062312,0.116027,0.868262,0.910838,21:44
6,0.137372,0.170717,0.896280,0.061496,0.109220,0.858886,0.933675,24:54
7,0.120606,0.147473,0.919730,0.052799,0.094674,0.905919,0.933542,25:55
8,0.108614,0.131985,0.925672,0.050212,0.081772,0.929606,0.921739,27:52
9,0.104543,0.126229,0.932339,0.047214,0.079015,0.927463,0.937214,18:00
