A_CCMCT_29609B_1.svs;mitosis;{"x1": 57204,"y1": 28229,"x2": 57254,"y2": 28279}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 57895,"y1": 37440,"x2": 57945,"y2": 37490}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 54810,"y1": 37131,"x2": 54860,"y2": 37181}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 54575,"y1": 34537,"x2": 54625,"y2": 34587}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 47883,"y1": 28677,"x2": 47933,"y2": 28727}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 44754,"y1": 59007,"x2": 44804,"y2": 59057}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 42353,"y1": 52480,"x2": 42403,"y2": 52530}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 40805,"y1": 34606,"x2": 40855,"y2": 34656}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 37493,"y1": 42937,"x2": 37543,"y2": 42987}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 36377,"y1": 41102,"x2": 36427,"y2": 41152}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 36397,"y1": 21499,"x2": 36447,"y2": 21549}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 35695,"y1": 47839,"x2": 35745,"y2": 47889}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 34443,"y1": 52213,"x2": 34493,"y2": 52263}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 29155,"y1": 21313,"x2": 29205,"y2": 21363}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 27375,"y1": 52251,"x2": 27425,"y2": 52301}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 21532,"y1": 47487,"x2": 21582,"y2": 47537}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 20563,"y1": 51029,"x2": 20613,"y2": 51079}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 17897,"y1": 26175,"x2": 17947,"y2": 26225}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 33626,"y1": 50327,"x2": 33676,"y2": 50377}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 19780,"y1": 40222,"x2": 19830,"y2": 40272}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 23971,"y1": 36246,"x2": 24021,"y2": 36296}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 32099,"y1": 34233,"x2": 32149,"y2": 34283}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 35115,"y1": 25998,"x2": 35165,"y2": 26048}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 32045,"y1": 21856,"x2": 32095,"y2": 21906}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 30281,"y1": 21507,"x2": 30331,"y2": 21557}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 34254,"y1": 18798,"x2": 34304,"y2": 18848}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 45627,"y1": 17972,"x2": 45677,"y2": 18022}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 29055,"y1": 15020,"x2": 29105,"y2": 15070}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 30501,"y1": 9903,"x2": 30551,"y2": 9953}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 22146,"y1": 8615,"x2": 22196,"y2": 8665}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 25694,"y1": 6642,"x2": 25744,"y2": 6692}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 33454,"y1": 50814,"x2": 33504,"y2": 50864}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 28103,"y1": 49490,"x2": 28153,"y2": 49540}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 28742,"y1": 48917,"x2": 28792,"y2": 48967}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 25076,"y1": 48502,"x2": 25126,"y2": 48552}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 29494,"y1": 47890,"x2": 29544,"y2": 47940}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 30588,"y1": 45860,"x2": 30638,"y2": 45910}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 31578,"y1": 44226,"x2": 31628,"y2": 44276}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 38322,"y1": 42766,"x2": 38372,"y2": 42816}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 35521,"y1": 43163,"x2": 35571,"y2": 43213}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 34145,"y1": 41586,"x2": 34195,"y2": 41636}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 38967,"y1": 39613,"x2": 39017,"y2": 39663}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 34889,"y1": 38235,"x2": 34939,"y2": 38285}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 23824,"y1": 37471,"x2": 23874,"y2": 37521}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 38514,"y1": 36740,"x2": 38564,"y2": 36790}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 42797,"y1": 34816,"x2": 42847,"y2": 34866}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 34128,"y1": 33563,"x2": 34178,"y2": 33613}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 25881,"y1": 33422,"x2": 25931,"y2": 33472}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 31180,"y1": 32775,"x2": 31230,"y2": 32825}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 21852,"y1": 30406,"x2": 21902,"y2": 30456}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 20083,"y1": 30498,"x2": 20133,"y2": 30548}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 20147,"y1": 30176,"x2": 20197,"y2": 30226}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 31435,"y1": 29442,"x2": 31485,"y2": 29492}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 24463,"y1": 29562,"x2": 24513,"y2": 29612}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 21906,"y1": 29987,"x2": 21956,"y2": 30037}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 19569,"y1": 29222,"x2": 19619,"y2": 29272}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 29232,"y1": 27162,"x2": 29282,"y2": 27212}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 45508,"y1": 26488,"x2": 45558,"y2": 26538}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 38287,"y1": 26239,"x2": 38337,"y2": 26289}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 35320,"y1": 26804,"x2": 35370,"y2": 26854}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 43039,"y1": 25801,"x2": 43089,"y2": 25851}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 23612,"y1": 25405,"x2": 23662,"y2": 25455}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 32922,"y1": 25200,"x2": 32972,"y2": 25250}
A_CCMCT_29609B_1.svs;mitosis;{"x1": 38045,"y1": 24369,"x2": 38095,"y2": 24419}
A_CCMCT_22108_1.svs;mitosis;{"x1": 85000,"y1": 66325,"x2": 85050,"y2": 66375}
A_CCMCT_22108_1.svs;mitosis;{"x1": 82652,"y1": 66913,"x2": 82702,"y2": 66963}
A_CCMCT_22108_1.svs;mitosis;{"x1": 81879,"y1": 66201,"x2": 81929,"y2": 66251}
A_CCMCT_22108_1.svs;mitosis;{"x1": 81229,"y1": 55367,"x2": 81279,"y2": 55417}
A_CCMCT_22108_1.svs;mitosis;{"x1": 80496,"y1": 64973,"x2": 80546,"y2": 65023}
A_CCMCT_22108_1.svs;mitosis;{"x1": 78423,"y1": 61147,"x2": 78473,"y2": 61197}
A_CCMCT_22108_1.svs;mitosis;{"x1": 76693,"y1": 76027,"x2": 76743,"y2": 76077}
A_CCMCT_22108_1.svs;mitosis;{"x1": 70468,"y1": 64863,"x2": 70518,"y2": 64913}
A_CCMCT_22108_1.svs;mitosis;{"x1": 70039,"y1": 60303,"x2": 70089,"y2": 60353}
